index,topic,prompt
230,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting. Conversation:  Apprentice: I need to learn more about accounting  Wizard: Well, accounting is called the ""language of business"" and it measures the results of a company's economic activities.  Apprentice: What is the hardest thing about it"
231,Medical billing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, in the next election of Donald Trump as president, he campaigned to repeal and replace Obamacare and came up with a seven-point plan for healthcare reform. Conversation:  Apprentice: I hate US healthcare - I have so many medical bills!  Wizard: well, sometimes you gotta pay your medical bills! it's not easy for healthcare providers...they have to submit claims in order to get payment!  Apprentice: That's true but the prices seem outrageous!  One night in the hospital is almost $10,000! "
232,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively. Conversation:  Wizard: I love Instagram because it is  a mobile, desktop, and Internet-based photo-sharing application   Apprentice: I love uploading my picture on there. Do you know when it was launched?  Wizard: Yes, It was made by Kevin Systrom and Mike Krieger, and launched in October 2010  Apprentice: I see, and how many users does it have nowadays? Must be in millions. "
233,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years. Conversation:  Wizard: A broken heart is also known as heartbreak or heartache. It is a metaphor to explain intense emotional and physical stress or pain.  Apprentice: I see, I think we've all experienced heartbreak at some point. Have you?  Wizard: Emotional pain that is severe can cause broken heart syndrome which includes physical damage to the heart.  Apprentice: Is it different from heartburn? "
234,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Wizard: I really enjoy a fun day of skiing! I don't do it competitively though.  Apprentice: water skiing or snow skiing?  Wizard: Water skiing is my preferred type of skiing! I love being out on the water.  Apprentice: Oh ok what do they call it when you ski on one ski?"
235,Goldendoodle,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The name, which alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992. Conversation:  Apprentice: hello, I know I am not the only one, i love dogs.  Wizard: yea me too i like the godendoodle which is a cross-breed dog  Apprentice: goldendoodle? sounds like what you find in a babies diaper :)"
236,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The modern field was established by the Italian mathematician Luca Pacioli in 1494. Conversation:  Apprentice: I am really interested in going into the accounting field, what can you tell me about it ?  Wizard: Accounting is the measuring, processing, and communication of financial information about businesses and corporations. What makes you interested in it?  Apprentice: i like handling financial affairs and i think i would be good at helping others "
237,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature. Conversation:  Apprentice: Have you ever been to Ireland? Ive seen pictures from a friend who went and it looks pretty  Wizard: No I have never been there but I would love to visit this island in the North Atlantic. I agree that it looks beautiful!  Apprentice: Yes! Is there many mountains there? "
238,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series. Conversation:  Apprentice: I live near where they film the walking dead.  Wizard: Ah so you must live in Atlanta or Alexandria?  Apprentice: They fil it in Semoia, GA. That is correct."
239,Goldendoodle,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Goldendoodle is a cross-breed dog, which is obtained by breeding a Golden Retriever with a Poodle. Conversation:  Wizard: the Goldendoodle is a cross breed dog  Apprentice: Goldendoodle? I never heard of a breed like that before. Where does it originate from?  Wizard: not sure but the Goldendoodle is a golden retriever mixed with a poodle  Apprentice: Ah, I see. Are they typically friendly? Would you recommend a Goldendoodle to someone who's not particularly good with dogs?"
