episode_idx,topic,round,message,response,knowledge,gold
289,Green,3,if I recall it is a secondary color since it is made up of two primary colors,Hardy made his debut for Total Nonstop Action Wrestling (TNA) at the,"Green is common in nature, especially in plants.","Yes, I also like green cause many creatures have adapted to their environments by turning green themselves."
290,Japanese language,4,"That is interesting, what is your job title?",Wizard: I am a teacher.,"According to 2000 federal census data, it served a resident population of 5,759.",I will be a foreign language teacher in public school district in Tokyo.
291,Bowling,4,I'm not good enough to play competitively. I also play with my kids. They need the bumpers.,The Queen and I (1992) is a novel imagining that the Royal family have,The objective is to score the highest pinfall by knocking down as many pins as possible.,Yeah it's fun for a quality time with family or friends. What happiness is it when you manage to knock over all the pins!
292,Drama school,4,Can one really be famous with just drama ? ,The Palestinian Authority declared three days of mourning and closed Palestinian schools. Hamas official I,"Yes are an English rock band formed in London in 1968 by singer Jon Anderson, bassist Chris Squire, guitarist Peter Banks, keyboardist Tony Kaye, and drummer Bill Bruford.","Yes buddy, Its a great job. What you think about band. Do you like Yes band"
293,"On-again, off-again relationship",3,"I don't know if I trust him anymore, but I still love him.","After a four-year gap between releases, the sisters continued as a foursome,",no_passages_used,The relationship can be confusing.
294,Elvis Presley,3,He resembles confidence in many ways,He was born in January just like me.,"Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.",Indeed.  He is definitely regarded as one of the most significant cultural icons of the 20th century.  Sure thats why we call him the king!
295,Motivation,3,Yeah that makes sense. Do you know of any stragies to help me focus?,No,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".","I have a few things that help me, and the biggest way is positive thinking. It helps me act in a certain way, or at least want to do that thing."
296,Green,4,Well blue is the color of the sky and water and I feel like it is a calming color.  Green is great also!,Reasoner took over the anchor chair after Collingwood tossed it to him at 5:,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",Yes this is true! I also like that green is the color of Ireland because I'm Irish. 
297,Green,3,"Yellow is for sure a color I dislike, maybe that's why my view on green changes so much.  You know anything else on it?","Pixie summons her Souldagger and stabs Kurt in the chest,","For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.",Im not too sure. Many wild animals have adapted to their green environments by learning how to camoflauge themselves
298,The Walking Dead (TV series),3,Ya I actually used to only live like an hour from the set,Huxley visited the USSR at the in 1931.,"Voiced by:  Sheriff Woody Pride is a 1950s old traditional pull string cowboy doll, and Andy's favorite toy.","Oh thats nice!  What town around the ""New South"" did you live?"
299,Bowling,4,"Oh my, I didn't realize there were so many different types of bowling games. What is the most popular bowling game?",The most popular bowling game is ten-pin.,In regions of the United Kingdom and Ireland the game remains a popular indoor place game.,"Ten-pin is the most popular, and it is what you played on your bowling date. Most bowling games descend from a European lawn game called Skittles though!"
300,Thierry Henry,4,Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?,"Thierry Henry is a retired French professional footballer. He played for Monaco, Juventus,","Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions.","No.. in fact, he's a French association football coach now! And he was--in both 2003 and 2004, he as the runner-up for FIFA World Player of the Year, so that gives you an idea of his skill. Also won two league titles and three FA Cups. Partly why I like him is I'm part French, and he represented us well at the international level, and is our leading goalscorer, too."
